,Date,ISO3,Country,BCI,BCI σ,BCI Δ,BCI Δ σ,Manufacturing: Confidence Index,Manufacturing: Confidence Index σ,Manufacturing: Confidence Index Δ,Manufacturing: Confidence Index Δ σ,Manufacturing: New Orders Index,Manufacturing: New Orders Index σ,Manufacturing: New Orders Index Δ,Manufacturing: New Orders Index Δ σ,Manufacturing: New Orders Inflows Index,Manufacturing: New Orders Inflows Index σ,Manufacturing: New Orders Inflows Index Δ,Manufacturing: New Orders Inflows Index Δ σ,Manufacturing: New Export Orders Index,Manufacturing: New Export Orders Index σ,Manufacturing: New Export Orders Index Δ,Manufacturing: New Export Orders Index Δ σ,Manufacturing: Production Index,Manufacturing: Production Index σ,Manufacturing: Production Index Δ,Manufacturing: Production Index Δ σ,Manufacturing: Employment Index,Manufacturing: Employment Index σ,Manufacturing: Employment Index Δ,Manufacturing: Employment Index Δ σ,Manufacturing: Capacity Utilisation Index,Manufacturing: Capacity Utilisation Index σ,Manufacturing: Capacity Utilisation Index Δ,Manufacturing: Capacity Utilisation Index Δ σ,Non-Manufacturing: Order Intentions & Demand Index,Non-Manufacturing: Order Intentions & Demand Index σ,Non-Manufacturing: Order Intentions & Demand Index Δ,Non-Manufacturing: Order Intentions & Demand Index Δ σ,Non-Manufacturing: Business Activity Index,Non-Manufacturing: Business Activity Index σ,Non-Manufacturing: Business Activity Index Δ,Non-Manufacturing: Business Activity Index Δ σ,Non-Manufacturing: Employment Index,Non-Manufacturing: Employment Index σ,Non-Manufacturing: Employment Index Δ,Non-Manufacturing: Employment Index Δ σ,Non-Manufacturing: Raw Material Stocks Index,Non-Manufacturing: Raw Material Stocks Index σ,Non-Manufacturing: Raw Material Stocks Index Δ,Non-Manufacturing: Raw Material Stocks Index Δ σ,CCI,CCI σ,CCI Δ,CCI Δ σ,Consumer: Confidence Index,Consumer: Confidence Index σ,Consumer: Confidence Index Δ,Consumer: Confidence Index Δ σ,Consumer: Future Confidence Index,Consumer: Future Confidence Index σ,Consumer: Future Confidence Index Δ,Consumer: Future Confidence Index Δ σ,Consumer: Price Confidence Index,Consumer: Price Confidence Index σ,Consumer: Price Confidence Index Δ,Consumer: Price Confidence Index Δ σ,GDP,GDP σ,GDP Δ,GDP Δ σ,GDP Q,GDP Q σ,GDP Q Δ,GDP Q Δ σ,CLI,CLI σ,CLI Δ,CLI Δ σ,PPI,PPI σ,PPI Δ,PPI Δ σ,CPI,CPI σ,CPI Δ,CPI Δ σ,CPI M,CPI M σ,CPI M Δ,CPI M Δ σ,Unemployment,Unemployment σ,Unemployment Δ,Unemployment Δ σ,M1 Money Supply,M1 Money Supply σ,M1 Money Supply %Δ 1Y,M1 Money Supply %Δ σ,M1 Money Supply %Δ,M3 Money Supply,M3 Money Supply σ,M3 Money Supply %Δ 1Y,M3 Money Supply %Δ σ,M3 Money Supply %Δ,Base Yield,Base Yield σ,Base Yield Δ,Base Yield Δ σ,3m Yield,3m Yield σ,3m Yield Δ,3m Yield Δ σ,10y Yield,10y Yield σ,10y Yield Δ,10y Yield Δ σ,Stock Market,Stock Market σ,Stock Market %Δ,Stock Market %Δ σ,Stock Market %Δ 1Y
0,1950-01-01,USA,United States,101.1132,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.533017543,,,,-0.83926744,,,,,,,,-3.88692751155403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1950-02-01,USA,United States,101.6662,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.533017543,,,,-0.83926744,,,,,,,,-2.8571441324012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1950-03-01,USA,United States,102.4035,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.766680699,,,,3.930097999,,,,,,,,-2.50896169734103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1950-04-01,USA,United States,103.4539,,2.3406999999999982,,36.2,,18.000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.766680699,,5.299698242,,3.930097999,,4.7693654389999995,,,,,,-2.15827435155001,,1.7286531600040198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1950-05-01,USA,United States,104.5127,,2.846499999999992,,49.4,,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.766680699,,5.299698242,,3.930097999,,4.7693654389999995,,,,,,-1.08695701392298,,1.77018711847822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1950-06-01,USA,United States,105.1357,,2.732200000000006,,53.2,,29.000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.297360623,,3.530679924,,3.049810988,,-0.8802870110000001,,,,,,-0.363636528892976,,2.145325168448054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1950-07-01,USA,United States,105.1592,,1.705299999999994,,55.0,,18.799999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.297360623,,3.530679924,,3.049810988,,-0.8802870110000001,,,,,,1.81818264446492,,3.97645699601493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1950-08-01,USA,United States,104.5032,,-0.009499999999988518,,51.6,,2.200000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.297360623,,3.530679924,,3.049810988,,-0.8802870110000001,,,,,,4.36363834671585,,5.45059536063883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1950-09-01,USA,United States,103.3491,,-1.7865999999999929,,36.2,,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.304959762,,3.007599138999999,,3.864414603,,0.8146036150000002,,,,,,5.43478506961486,,5.7984215985078364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1950-10-01,USA,United States,102.4155,,-2.743700000000004,,18.4,,-36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.304959762,,3.007599138999999,,3.864414603,,0.8146036150000002,,,,,,6.1818209911808,,4.36363834671588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1950-11-01,USA,United States,102.3857,,-2.117500000000007,,26.2,,-25.400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.304959762,,3.007599138999999,,3.864414603,,0.8146036150000002,,,,,,7.66423327145633,,3.30059492474048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1950-12-01,USA,United States,102.8476,,-0.5015000000000072,,34.2,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.368522328,,3.063562566,,1.914780147,,-1.949634456,,,,,,10.2941185479767,,4.859333478361839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1951-01-01,USA,United States,103.1973,,0.781800000000004,,35.6,,17.200000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.368522328,,3.063562566,,1.914780147,,-1.949634456,,,,,,12.1323546867048,,5.950533695524001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1951-02-01,USA,United States,103.0732,,0.6875,,38.6,,12.400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.368522328,,3.063562566,,1.914780147,,-1.949634456,,,,,,13.2352963699416,,5.571063098485271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1951-03-01,USA,United States,102.1639,,-0.6837000000000018,,31.0,,-3.200000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.563012123,,-2.805510204999999,,1.358158764,,-0.5566213830000002,,,,,,13.2352963699416,,2.941177821964901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
