,BCI,BCI σ,BCI Δ,BCI Δ σ,Manufacturing: Confidence Index,Manufacturing: Confidence Index σ,Manufacturing: Confidence Index Δ,Manufacturing: Confidence Index Δ σ,Manufacturing: New Orders Index,Manufacturing: New Orders Index σ,Manufacturing: New Orders Index Δ,Manufacturing: New Orders Index Δ σ,Manufacturing: New Orders Inflows Index,Manufacturing: New Orders Inflows Index σ,Manufacturing: New Orders Inflows Index Δ,Manufacturing: New Orders Inflows Index Δ σ,Manufacturing: New Export Orders Index,Manufacturing: New Export Orders Index σ,Manufacturing: New Export Orders Index Δ,Manufacturing: New Export Orders Index Δ σ,Manufacturing: Production Index,Manufacturing: Production Index σ,Manufacturing: Production Index Δ,Manufacturing: Production Index Δ σ,Manufacturing: Employment Index,Manufacturing: Employment Index σ,Manufacturing: Employment Index Δ,Manufacturing: Employment Index Δ σ,Manufacturing: Capacity Utilisation Index,Manufacturing: Capacity Utilisation Index σ,Manufacturing: Capacity Utilisation Index Δ,Manufacturing: Capacity Utilisation Index Δ σ,Non-Manufacturing: Order Intentions & Demand Index,Non-Manufacturing: Order Intentions & Demand Index σ,Non-Manufacturing: Order Intentions & Demand Index Δ,Non-Manufacturing: Order Intentions & Demand Index Δ σ,Non-Manufacturing: Business Activity Index,Non-Manufacturing: Business Activity Index σ,Non-Manufacturing: Business Activity Index Δ,Non-Manufacturing: Business Activity Index Δ σ,Non-Manufacturing: Employment Index,Non-Manufacturing: Employment Index σ,Non-Manufacturing: Employment Index Δ,Non-Manufacturing: Employment Index Δ σ,Non-Manufacturing: Raw Material Stocks Index,Non-Manufacturing: Raw Material Stocks Index σ,Non-Manufacturing: Raw Material Stocks Index Δ,Non-Manufacturing: Raw Material Stocks Index Δ σ,CCI,CCI σ,CCI Δ,CCI Δ σ,Consumer: Confidence Index,Consumer: Confidence Index σ,Consumer: Confidence Index Δ,Consumer: Confidence Index Δ σ,Consumer: Future Confidence Index,Consumer: Future Confidence Index σ,Consumer: Future Confidence Index Δ,Consumer: Future Confidence Index Δ σ,Consumer: Price Confidence Index,Consumer: Price Confidence Index σ,Consumer: Price Confidence Index Δ,Consumer: Price Confidence Index Δ σ,GDP,GDP σ,GDP Δ,GDP Δ σ,GDP Q,GDP Q σ,GDP Q Δ,GDP Q Δ σ,CLI,CLI σ,CLI Δ,CLI Δ σ,PPI,PPI σ,PPI Δ,PPI Δ σ,CPI,CPI σ,CPI Δ,CPI Δ σ,CPI M,CPI M σ,CPI M Δ,CPI M Δ σ,Unemployment,Unemployment σ,Unemployment Δ,Unemployment Δ σ,M1 Money Supply,M1 Money Supply σ,M1 Money Supply %Δ 1Y,M1 Money Supply %Δ σ,M1 Money Supply %Δ,M3 Money Supply,M3 Money Supply σ,M3 Money Supply %Δ 1Y,M3 Money Supply %Δ σ,M3 Money Supply %Δ,Base Yield,Base Yield σ,Base Yield Δ,Base Yield Δ σ,3m Yield,3m Yield σ,3m Yield Δ,3m Yield Δ σ,10y Yield,10y Yield σ,10y Yield Δ,10y Yield Δ σ,Stock Market,Stock Market σ,Stock Market %Δ,Stock Market %Δ σ,Stock Market %Δ 1Y
BCI,1.0,0.9265036072409746,0.3102422758884107,0.2626645117048385,0.9887180253990601,0.9161400141119062,0.2972822020336054,0.2515251741342184,0.868254394301296,0.8573088235362016,0.1584295000293445,0.14043384307944212,0.885380770229531,0.8063827345685276,0.11720842729199128,0.08468085462875188,0.6083084357968864,0.7329389331797043,0.1726044555195859,0.1939221728065428,0.9046471676549748,0.8212024626092358,0.1798188425123958,0.1348832837521384,0.8858681168540308,0.7992926210440229,0.3730169412029423,0.33922984598778466,0.32403612987144215,0.44284477574130804,0.6367457206680425,0.611891400377417,0.7442244799102389,0.7072671042913344,0.20589185393654036,0.19761157650952074,0.6985108793760169,0.6752370055788784,0.18778603691605036,0.19529323657293957,0.36123024141881394,0.3659712825889131,0.3053408474433414,0.3248972811472755,0.5086117826743287,0.5790567601309466,0.1841245492056389,0.21987453970643075,0.34816833952644355,0.2533896829760172,0.05344737801643196,0.017332421837340403,0.34523685275749766,0.2532431121192592,0.05004784804970204,0.017534311718637646,0.24142118039611796,0.24063270093268202,-0.16506432203085591,-0.16768339098110066,-0.0925722232392361,0.22327000638648284,0.32200242962850817,0.27527929517363764,0.48730064867307915,0.5268327333034418,0.41698513332993253,0.33659415861068265,0.5091091175068978,0.4862457018864119,0.1022981000583372,0.08806289302461431,0.8120335531309592,0.7348006276758208,0.3023121276435221,0.23371408177493516,-0.0038448625531757466,0.18958163547181317,0.33852508364731176,0.34509392921944043,-0.21236580041583933,0.06410344445918337,0.3097842027698631,0.3863571882486461,0.0030928320978338,0.16673854635364171,0.07806070268768833,0.10878197140825317,-0.1973097515921979,-0.20725480445397657,-0.41397175385305285,-0.6062793455425549,0.0891918429042694,0.18500306920768456,0.08942316941569914,-0.03725513673276551,-0.03908387969914468,0.02273638060303256,0.14792983816516908,0.15509682189587493,-0.15684779399679588,-0.07803202171632949,-0.20122097780341025,0.05666445702848356,0.42075290480150435,0.45108070172428466,-0.21051061149492697,-0.11480374647461312,0.4255255722882503,0.451915926277389,-0.16227218559210815,0.07286480814403094,0.30945577555959847,0.2896539076095153,0.05912852295669209,0.18653183439224064,0.07576813920719308,0.34578059231660263,0.38254370876734084
BCI σ,0.9265036072409746,1.0,0.34120863039981963,0.332732292663211,0.9156595336297422,0.9859827111334641,0.3175709473045123,0.31111978470261636,0.8503740583344419,0.8798852818177375,0.20385874603497367,0.21159729773762814,0.8875131496729393,0.8966995053809923,0.15204181799311725,0.1357612476238441,0.6533840491849011,0.7540569885672576,0.209249348909275,0.22639828204240142,0.887769260909107,0.9079371210791385,0.1993339343901523,0.18303262549394914,0.7926888116970704,0.8535140495681589,0.3999666601638544,0.4086099474638454,0.22756838022036052,0.43589618638527755,0.6560343555198922,0.674619743707319,0.6931313962555602,0.6843980894409899,0.23951984829660555,0.24363836957196244,0.6529987316971745,0.662824823871133,0.2178880940394323,0.23907066565405694,0.33528803902114124,0.3513043579427422,0.34508732011342547,0.3743640920215739,0.40696123948560897,0.533606324038866,0.1726816967538033,0.20063042483336413,0.3751354991702013,0.3360397927460074,0.12222029082613885,0.07860713876257966,0.3722303223785067,0.3356834036319366,0.10642183451068749,0.06806024710957935,0.30250511708095845,0.2673920339954622,-0.15262345669414432,-0.1632158289741794,-0.13481419694428437,0.16020988849663104,0.28816008762769313,0.2854170580271978,0.48519121443922736,0.5411444781673342,0.3244172402505763,0.3892249035149038,0.4413293063172617,0.5260459928786392,0.08488611277582528,0.11482267177250857,0.7515947359944485,0.7865053606466799,0.36143845541385095,0.34409292070228553,-0.02593049397513007,0.09735167123898983,0.3717883226820864,0.37602318481258146,-0.2619381620027802,-0.08548575714679048,0.33923085841739864,0.3773572460772199,0.010513571331107323,0.08338632848756872,0.09093379701377591,0.10706822994488466,-0.10164204395308908,-0.18595137058578481,-0.4346768325803394,-0.6506843910451594,0.1132812122690886,0.16386032588824764,0.11500430896361333,-0.11389035627059024,-0.08331436095118058,0.08117154506504327,0.0964195015553626,0.09271209386333175,-0.23332559404829625,-0.1646572473378143,-0.22319922959234512,-0.12586973005869123,0.35835604378476643,0.4846298056335947,-0.2325026953092679,-0.22698431640766473,0.35392649730441544,0.471476331984977,-0.1513797667787201,-0.0733438379401167,0.268239768140969,0.28960421211145476,0.1045863303088838,0.2772448599844806,0.13539549690721076,0.42263885586919453,0.43218636892442
BCI Δ,0.3102422758884107,0.34120863039981963,1.0,0.956310885815423,0.3396480045407374,0.3672336984932031,0.9559501078256458,0.908278246869566,0.37018993817282975,0.39990814016944487,0.6847739139015137,0.6704406307693727,0.5284471307915584,0.551088143910707,0.8137633767686597,0.7876960791069011,0.26779148329477426,0.33284294264244724,0.5594263235167785,0.6406222806263847,0.45525120520806217,0.49163973850036424,0.8331688313881117,0.7964211773529045,0.12895815873487312,0.14996712364157733,0.8121574356432352,0.7563824814346847,-0.19968822794714625,-0.1674485386130148,0.48569136329697865,0.4448768468713766,0.16829786750962367,0.24825899326311274,0.5534589987044889,0.568039344138585,0.15284139329782376,0.23174846673597152,0.4887950654286767,0.5174756105540803,-0.05763664304717768,0.02695376527412596,0.3998941681220764,0.4870477480485334,-0.0677657699589545,0.024784969562920325,0.2603702559273272,0.31283103441725585,0.13024523305633628,0.15736959863660507,0.4115357056191175,0.4349976261425091,0.13625281160505964,0.16448943426042012,0.3515202105015879,0.38619068129915385,0.39847026773832744,0.3751702485052658,0.23341575327339936,0.1646065319806143,-0.15476427796557765,-0.11034661454213976,0.20340149887432665,0.24045751042019686,-0.30707443519848276,-0.17074743684693697,0.17267336040425518,0.2290682395825609,0.03945217455965829,0.10791936219570533,0.1951676355118553,0.19768972337836294,0.11783986789622333,0.18399757533190744,0.7331463302684355,0.7128444086570315,-0.21569562054752134,-0.21998249651664853,0.0629138222431582,0.051858771890033024,-0.17493694235630416,-0.24754138111025062,-0.11002663251404941,-0.053551705836014395,-0.05593882029720872,-0.038668349296587835,0.07426839572291785,0.121398261925903,0.22812971966017884,0.17608128770200532,-0.18754355329959965,-0.2862780431602946,0.0001725244028977814,0.13915091439689836,0.1416640655689867,0.19743964043462126,0.05371912800350108,-0.00301494858566199,0.12635584525880897,0.2405163671700905,0.09884134115000141,0.13529290825314833,-0.17212143662325005,-0.2576062122500997,0.1063870622962974,0.09248740064164337,-0.16799585283643506,-0.27964926509145305,0.14847557937872738,0.120772031631005,-0.04080891063871278,-0.06622356853819181,0.26262874980920536,0.2918764028319608,-0.011374848310555524,0.16484061642321832,0.4011644150101633,0.3206889398862697,0.2808070881714387
BCI Δ σ,0.2626645117048385,0.332732292663211,0.956310885815423,1.0,0.2900747951271113,0.35939069301265036,0.9079449790256864,0.9446159004932818,0.3382711779224406,0.3764929121400759,0.6854428635270818,0.6820120099613929,0.5080071791868099,0.5561565963609462,0.8164970121642133,0.8242194083811426,0.2488949450801866,0.31227114128382916,0.5698791295469959,0.6396992018398318,0.43759990313252334,0.49145822688291274,0.8139413740782253,0.8250933029390446,0.07809722597957741,0.1215332155571467,0.7584019764349221,0.7766495320547524,-0.1975752654709997,-0.18615751576906894,0.48773822025300906,0.47446043423468576,0.15472794207057627,0.24946262605220335,0.576919035681372,0.5919907411738918,0.1499350097938404,0.24467375657869794,0.5245423774188986,0.5540997686537392,-0.06500041499121993,0.0116515917018555,0.4058811264142825,0.48825808249709973,-0.05879664428161551,0.06731014600411256,0.27458060487228914,0.3236027220616545,0.12466856285276619,0.14852881731663614,0.4153192204430661,0.42965781770237754,0.1316112387442125,0.15602801179755926,0.36034966297040555,0.3846022937845253,0.3950118085375539,0.392687365749382,0.21015876005508272,0.15378512957898927,-0.14286572969123124,-0.13663479930219577,0.20434747542403725,0.24286904472044582,-0.24259873113795585,-0.21534019369440802,0.12991895455542118,0.21470793964687412,0.030686806718194234,0.09191440280128714,0.14951601172326587,0.18562319781059072,0.1133299675446334,0.16444064240429496,0.7535886666239856,0.758786031421092,-0.2494466281987451,-0.25646309410665363,0.12998572666061053,0.08741008740527947,-0.20379352227882125,-0.27252141125489426,-0.03469713808867163,-0.034210470415581,-0.008887674354019942,-0.025462151759173393,0.14066463876832083,0.12960650721537578,0.22950903739502954,0.18699161432507933,-0.2250355073791275,-0.27335866897879796,-0.009965394503059985,0.18735320466818675,0.2268802044199491,0.15783356400232756,0.09218958953676307,-0.02899360414113488,0.15157227142998006,0.28303926576185157,0.07083058182044588,0.13011661674921238,-0.15516996490164064,-0.2832509935442901,0.06834565766492622,0.05195402853142412,-0.15659572775336794,-0.320689502253916,0.07386015368818909,0.04631230049923468,-0.023868849505868178,-0.08008464330820035,0.27102777638393666,0.28556523585498417,-0.032785716539652565,0.1384723521872785,0.4254454534351224,0.2915202780864169,0.2823703614042565
Manufacturing: Confidence Index,0.9887180253990601,0.9156595336297422,0.3396480045407374,0.2900747951271113,1.0,0.9301032417259479,0.35611159933017017,0.3116838164576155,0.8735649191480381,0.8602409463840641,0.19449340847264066,0.17432943707943502,0.9057276932396672,0.827790446856742,0.1772410582140608,0.14390009154109804,0.6203376704524005,0.7453523884697811,0.21027812622341746,0.23790459873474754,0.9235848142243785,0.8411669548636008,0.24260415525764364,0.19623156319431595,0.8883548976049462,0.8045674504228344,0.41912445462668746,0.3827814368061174,0.32034208996772373,0.439017528922227,0.6447535643472214,0.6170114410348106,0.752911098182262,0.7248128711763127,0.23862377767374918,0.23769263312029754,0.7083259539813868,0.6908359392737855,0.2245902238046854,0.23922658676880829,0.3651018060817789,0.3772079265342706,0.3321010146075068,0.3521629860627429,0.49786105389450314,0.5754523112286276,0.19007143136656768,0.23533619166775716,0.34214616022771827,0.2502186199976163,0.06244980992884695,0.02824602366448532,0.3414449048702758,0.25278064123166244,0.06224782440982222,0.033699601271926546,0.2378774881129086,0.23415704855412445,-0.1550603162299654,-0.15965558325926824,-0.08739688730125575,0.2229232711402092,0.31891759576481643,0.2726475885304519,0.47001232157329526,0.5077252608344991,0.40138382429244834,0.3213182491070139,0.488225597016556,0.4667803960803403,0.09657309733712971,0.08132194690202968,0.7957069347222524,0.7224274562952042,0.30774380649107647,0.24017721532246294,-0.0010647214794155043,0.18730261860716196,0.3370845656290947,0.34369278246686746,-0.20624854050663302,0.06487530837287256,0.30291527986642763,0.3838745314157824,0.00752088804910877,0.17225120251881754,0.07991199345858926,0.11343488498833479,-0.19786743477491198,-0.20697678402820857,-0.4230986042696214,-0.6065025181807062,0.08663881585557268,0.17765703378075087,0.087559762004661,-0.036258403429601384,-0.037419938017064155,0.021803444819665698,0.14324142501479767,0.1509349424578906,-0.1559646471720204,-0.07835497719285515,-0.19436258392065736,0.05742202199748966,0.42028043828580663,0.4529211033334965,-0.2025436462055499,-0.10881586575467617,0.4307052926718533,0.45404625993999626,-0.15534461004889819,0.07575716550775621,0.32260862068072194,0.3044835893854475,0.05809890759131373,0.18662471590146146,0.08654620482596673,0.3438428451318346,0.3794527409127516
Manufacturing: Confidence Index σ,0.9161400141119062,0.9859827111334641,0.3672336984932031,0.35939069301265036,0.9301032417259479,1.0,0.37756662151701137,0.37442909550483844,0.8551049093587341,0.879311951149353,0.23767918237134206,0.24229951856329884,0.9099269679570527,0.9180461821480456,0.21452893017608193,0.19944493694090296,0.6654783326651995,0.7671023482120995,0.24866169467486052,0.27163736427368407,0.9091715512185515,0.9277350728604832,0.2641219523552308,0.24836538841633374,0.7997786721217246,0.8591073641200108,0.44505637061701614,0.4532509626224448,0.2279148721500845,0.43503043087063076,0.6672139037108443,0.681376882793946,0.7082856351115302,0.7111328939963456,0.2780194713742107,0.2929320747538091,0.6682065722086984,0.6853420300308793,0.26135742084306324,0.29288826875195084,0.3477058776047284,0.3741757070469073,0.37569448846970055,0.406278381962709,0.397223673783575,0.5294171931741423,0.182015485914051,0.22169792133331484,0.3705412236735685,0.33243314145971226,0.13039686361890682,0.0883981492387469,0.37068099069118043,0.3354346284525991,0.12019352218062847,0.08496461097585184,0.2961046987454483,0.25895017330014736,-0.1426475659663938,-0.1542031786525894,-0.1308607258968096,0.15866501036600567,0.2850732109359258,0.2804373649307486,0.4666435993702331,0.5192030719836344,0.30046927847142724,0.36732702108507626,0.41355921354857517,0.5011434753535823,0.07248285010784028,0.10228291381517633,0.7395625733467112,0.7733067900663746,0.36975083300980205,0.3503059306094221,-0.024314593036145412,0.09730017887666643,0.37156620826434017,0.37524025985857484,-0.25579580643173316,-0.08081410727996428,0.33617732319679494,0.37541623238960664,0.01911591730888285,0.09187330108192349,0.09841849436686445,0.1133542943951784,-0.1098122267491559,-0.189712711265593,-0.4498502507333027,-0.6513738807364912,0.10735898826968912,0.15388050140824494,0.10927500347613124,-0.11466621719006945,-0.07757915323636251,0.07792658523287586,0.08995182525246287,0.08565540544595937,-0.23355537692503714,-0.16773497144343139,-0.21648930269915875,-0.11857930024387146,0.35933342989208594,0.4851942233817486,-0.22509556066171915,-0.21755291178615446,0.3565707012842166,0.46833241660326447,-0.1456501942585245,-0.06715908968941536,0.27981674872591455,0.3007421162275704,0.1023315381339971,0.274642880436265,0.14590876843125578,0.4169714322006288,0.4272640459057704
Manufacturing: Confidence Index Δ,0.2972822020336054,0.3175709473045123,0.9559501078256458,0.9079449790256864,0.35611159933017017,0.37756662151701137,1.0,0.960984799791125,0.36118845677713074,0.3830472373898797,0.693219931956589,0.6733671465581559,0.5269536864525868,0.546248876529834,0.8730108002067334,0.8507593745919351,0.2752196170461461,0.33933332794854926,0.5870963020262588,0.6758349684301739,0.46267571022498255,0.4937270596682782,0.8923542338596862,0.8595093389702003,0.15728450994427037,0.17456194475438702,0.8389714382976814,0.7886121710427221,-0.16032845779845914,-0.12073101197449555,0.4757300964960995,0.4291087450478502,0.1990943215790326,0.284232349808235,0.5861832507599685,0.6068661611042984,0.18597739578028347,0.2643722525892574,0.5303275831547797,0.5635128363712631,-0.013207939905077671,0.07140197186761531,0.43998469544177204,0.5160571337968519,-0.053236722236974864,0.03912314820952766,0.23852924583471105,0.30764775419667684,0.11733184157063094,0.14141277896572926,0.38246022629680526,0.4069766220190717,0.12520802783419585,0.1510820341823618,0.33809252310126914,0.3780554499007974,0.3313787921576901,0.308737920777466,0.19950080685332575,0.13639080288398422,-0.1240864087364302,-0.08081226217124624,0.19384987695006378,0.2243117915032716,-0.27030800342470546,-0.15651851829632243,0.12631199539209106,0.1687829201302301,0.0024520011044777824,0.06235286789550071,0.1376064991313634,0.13775903249319638,0.11089396379848952,0.1708314885470087,0.6623551908586963,0.6441005662064305,-0.177995730384752,-0.17843580043454235,0.07718086985416586,0.06882350392059819,-0.14859539678848915,-0.2054802482051714,-0.09404739662061587,-0.030686808922037567,-0.03424499419626854,-0.013428229660515555,0.07968737043719543,0.12834751391921298,0.18129735280239792,0.13863090426228467,-0.21596278717673292,-0.28825209653563166,0.0001443204690093404,0.11298152340102723,0.12147593837307423,0.1750163713768622,0.044951142477085496,-0.002916067496455282,0.10650826884322578,0.20405782282660367,0.0836586494792132,0.11162032980969559,-0.14478266935802378,-0.21547023580736363,0.10839708703911734,0.10589959996872612,-0.13812635636191417,-0.2322814414544286,0.1639992471270988,0.1373055548474998,-0.0294147239592207,-0.04640003735813428,0.2821577053229764,0.30846859032875185,-0.008893529031871137,0.14886806960936058,0.37805621854283417,0.2821845969778795,0.24993984196205224
Manufacturing: Confidence Index Δ σ,0.2515251741342184,0.31111978470261636,0.908278246869566,0.9446159004932818,0.3116838164576155,0.37442909550483844,0.960984799791125,1.0,0.3372403271136108,0.363377683594562,0.6901333070136165,0.6754309291972996,0.5107340864689348,0.5517196625882402,0.8786929330030618,0.8878195587895218,0.2621680891764352,0.32524838158577973,0.5949548943158115,0.6734990755747416,0.44892370383926367,0.495955099004554,0.8790009745815045,0.8906174850969825,0.11592682350654464,0.15570288772616808,0.792977664519047,0.8111383706780084,-0.1551451208215724,-0.12589596939984887,0.48167117371649965,0.4600315950199723,0.1906894426165759,0.290413988442915,0.604611121640313,0.6306337875775634,0.18432081324258745,0.27453733314968204,0.5562929075582915,0.5934081183611787,-0.01699026734071103,0.06853615369787351,0.4483733921100565,0.5235539491468881,-0.051663817460751875,0.05845938209711073,0.2418846843856119,0.30945940243343023,0.10917929619760598,0.1314945692275322,0.3894679961549836,0.4047898581225301,0.11905984746010088,0.1423385731331809,0.3529130357433848,0.3811833607807211,0.3218724379377518,0.3098348563471424,0.18022755014114136,0.127977441929572,-0.11145234324795296,-0.09333747682065513,0.194913719094143,0.22609338758945385,-0.21806796054062275,-0.1917994361814813,0.07273214869225779,0.15673917415854208,-0.02135817499851224,0.04836688444169655,0.07899027133410054,0.1240708494919552,0.11112492969051134,0.15791225765133782,0.6881028903840837,0.6852258547728283,-0.19474641799624184,-0.20230545257843566,0.13929837567896372,0.10165544922900575,-0.16598411216588377,-0.21825019429491332,-0.015955342598328797,-0.01024158373243735,0.018982220228039304,0.004337890530953782,0.1532126321924167,0.13979717269073835,0.1714262153749471,0.14315296606102484,-0.26086814075602704,-0.27891272908967935,-0.00785832380418863,0.1382127200221521,0.17280052841742757,0.1253821339096148,0.06550063245954806,-0.022433578412278977,0.11948071317902588,0.22625235279744502,0.044594243782286706,0.08811246756475331,-0.12949686342658054,-0.23350348438335125,0.08130187626005915,0.07841812846989475,-0.1288387083092607,-0.2634004705347663,0.09589351226349789,0.07707065408874528,-0.013853907357101724,-0.05351339094670329,0.2876140118821456,0.3001342199866593,-0.023701817444927067,0.12501299751261843,0.3978035972048644,0.2573656492767659,0.24987508484560506
Manufacturing: New Orders Index,0.868254394301296,0.8503740583344419,0.37018993817282975,0.3382711779224406,0.8735649191480381,0.8551049093587341,0.36118845677713074,0.3372403271136108,1.0,0.9847672964810719,0.4297366943970053,0.39639666120927897,0.8368470360993144,0.7963989892670915,0.19424833458315258,0.18522838427457358,0.6570853700891984,0.7123740047373219,0.297719254924046,0.30713966460175507,0.7969046011507577,0.7667305103901875,0.23161065485420795,0.22875048517622737,0.6080812458476407,0.5815852338932298,0.4164100326472093,0.4165571616535508,0.19910924416087888,0.4152473318257865,0.5084502432529322,0.5538474861319982,0.6350879890832939,0.6063828795169283,0.2419710599436147,0.2549993441075981,0.6094828857974043,0.5784594958378164,0.2138266022781936,0.2250382469618725,0.1735583548552042,0.16813504846002347,0.29388643129729614,0.3424181490129754,0.4706014559188293,0.5162567380172167,0.1955245541926943,0.24366360326605258,0.13354651643570487,0.1146599132151757,0.16207462512110446,0.14499252093449042,0.1321552742691836,0.11461840904614194,0.12922391767158953,0.12121142759783479,0.22375605696868994,0.16982890808988818,-0.14609858800213202,-0.16915039246547917,0.24440499820874567,0.2990092683946115,0.3535481963027838,0.3546339237261443,0.28898093482956405,0.35338038571526215,0.2662627688802838,0.37631121746562063,0.2590495398583352,0.36979852155537685,0.05065234167817129,0.10255158849516216,0.5450749395956578,0.5864585277826114,0.44943511424316485,0.4601044004479785,0.3132182235023077,0.3064156911449993,0.42304935263746823,0.39895247801804484,0.18775609219833214,0.2541074034610551,0.3765684620719041,0.3571674624006379,0.34938502176991887,0.33087832622203467,0.1195934303900807,0.11803150403840937,-0.0653087733263319,-0.1177977471506066,-0.31038246058562036,-0.47131944906810685,0.2954709390898602,0.18652787265439882,0.16417826544854197,-0.26187228853153843,-0.07883753140994681,0.22443118186026384,-0.014146399106787456,0.03293774353288666,-0.42283482434475367,-0.22881500808703267,-0.15316776511607505,0.0004777933728564227,0.43398723554547936,0.39783540766154474,-0.17832106003651654,-0.03949381523904916,0.40104117098514336,0.37755967687251596,-0.024183426083769572,0.30921268851505285,0.37960699065986775,0.3840228953140588,0.24920163374703386,0.27505898238830145,0.3073948126607008,0.48627524499034225,0.4683377525339003
Manufacturing: New Orders Index σ,0.8573088235362016,0.8798852818177375,0.39990814016944487,0.3764929121400759,0.8602409463840641,0.879311951149353,0.3830472373898797,0.363377683594562,0.9847672964810719,1.0,0.4609910186907064,0.4491019074608857,0.8436953315002682,0.8184488557568685,0.21657040253507734,0.20961496643784047,0.6957265842992243,0.7120713466382906,0.3149371796138216,0.31452093557503497,0.8006293596944805,0.7929872196758597,0.24732608180278629,0.24784018357529053,0.59592427418268,0.5957238219602028,0.42969824743810114,0.42973496674776906,0.27777089356134244,0.3489040571286444,0.5289807890027813,0.5669741476301,0.6168588633095586,0.6163279355609573,0.23919031630657656,0.29303835256769745,0.5851613160453087,0.5859701183097582,0.2196338480697737,0.26102782273745806,0.18990937769403263,0.196598736835868,0.3190816054802783,0.36936592335053436,0.40863876537155763,0.48801729589856996,0.19865337419007525,0.2381279598313795,0.2940632339842346,0.19477713974594263,0.09743293057657636,0.06732881393337617,0.2860940295248909,0.19138862830894696,0.08079009597195486,0.05661868207463426,0.30528618265678636,0.22240992513167387,-0.23993705255546385,-0.2640925526456889,0.13069679549868532,0.23676220661578998,0.3794290958471028,0.38759550276090154,0.31212528015841823,0.36428108988726654,0.2903269462663908,0.39395602831594373,0.2875045792891479,0.39828802446034134,0.06021357394580684,0.13738421630965492,0.5002400263674348,0.5687323621530401,0.5146582817915888,0.5250056150484541,0.30052174193939735,0.36379694082075203,0.49213316913419897,0.45393043465853045,0.1571605726783141,0.27964329112494457,0.4322592644278272,0.42710562304818595,0.3852025927023188,0.38718940017212855,0.14267621165288516,0.13798164780702435,-0.13703591564817677,-0.2046274659135888,-0.3661034468842682,-0.4873057284175097,0.24605794605066572,0.10328418590563315,0.1808851173397302,-0.3877697870134249,-0.1340267506167856,0.1700370637095139,0.19772768189541717,0.13626757677805826,-0.3659000315725072,-0.1878616498767413,-0.11271101444945637,-0.03862770229607804,0.30961523299792115,0.337820042204436,-0.19925877625377109,-0.1292300116410539,0.2416899154735705,0.2784746454442903,0.014985456552558098,0.20336887485013794,0.34258035622574273,0.36066064330183345,0.2668240449240465,0.3912117539117716,0.43519861556034767,0.6796632770621801,0.6392891082086823
